parent_notice,ark_periodique,ark,numero,gallica_url,text_brut,ark,date
34348401,ark:/12148/cb32701903m/date,ark:/12148/bpt6k941440p,17 mai 1917,https://gallica.bnf.fr/ark:/12148/bpt6k941440p,https://gallica.bnf.fr/ark:/12148/bpt6k941440p.texteBrut,ark:/12148/bpt6k941440p,1917-05-17
34348401,ark:/12148/cb32701903m/date,ark:/12148/bpt6k9414412,24 mai 1917,https://gallica.bnf.fr/ark:/12148/bpt6k9414412,https://gallica.bnf.fr/ark:/12148/bpt6k9414412.texteBrut,ark:/12148/bpt6k9414412,1917-05-24
34348401,ark:/12148/cb32701903m/date,ark:/12148/bpt6k941442f,31 mai 1917,https://gallica.bnf.fr/ark:/12148/bpt6k941442f,https://gallica.bnf.fr/ark:/12148/bpt6k941442f.texteBrut,ark:/12148/bpt6k941442f,1917-05-31
34348401,ark:/12148/cb32701903m/date,ark:/12148/bpt6k941443t,07 juin 1917,https://gallica.bnf.fr/ark:/12148/bpt6k941443t,https://gallica.bnf.fr/ark:/12148/bpt6k941443t.texteBrut,ark:/12148/bpt6k941443t,1917-06-07
34348401,ark:/12148/cb32701903m/date,ark:/12148/bpt6k9414446,21 juin 1917,https://gallica.bnf.fr/ark:/12148/bpt6k9414446,https://gallica.bnf.fr/ark:/12148/bpt6k9414446.texteBrut,ark:/12148/bpt6k9414446,1917-06-21
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t53859737,01 janvier 1923,https://gallica.bnf.fr/ark:/12148/bd6t53859737,https://gallica.bnf.fr/ark:/12148/bd6t53859737.texteBrut,ark:/12148/bd6t53859737,1923-01-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5385974m,01 février 1923,https://gallica.bnf.fr/ark:/12148/bd6t5385974m,https://gallica.bnf.fr/ark:/12148/bd6t5385974m.texteBrut,ark:/12148/bd6t5385974m,1923-02-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t53859750,01 mars 1923,https://gallica.bnf.fr/ark:/12148/bd6t53859750,https://gallica.bnf.fr/ark:/12148/bd6t53859750.texteBrut,ark:/12148/bd6t53859750,1923-03-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5385976c,01 avril 1923,https://gallica.bnf.fr/ark:/12148/bd6t5385976c,https://gallica.bnf.fr/ark:/12148/bd6t5385976c.texteBrut,ark:/12148/bd6t5385976c,1923-04-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5385977r,01 mai 1923,https://gallica.bnf.fr/ark:/12148/bd6t5385977r,https://gallica.bnf.fr/ark:/12148/bd6t5385977r.texteBrut,ark:/12148/bd6t5385977r,1923-05-01
